Attribute number;Attribute value;Attribute description;Attribute name
10;Blush on W0 D 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Blush on W0 D 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Product Name
10;Blush on W0 D 01 5gr Refill Not for Sale Wardah (Pc(s));Blush on W0 D 01 5gr Refill Not for Sale Wardah (Pc(s));Product Name
10;Blush on W0 E 01 5gr Refill Not for Sale Wardah (Pc(s));Blush on W0 E 01 5gr Refill Not for Sale Wardah (Pc(s));Product Name
10;Blush on W0 F 02 5gr Refill Not for Sale Wardah (Pc(s));Blush on W0 F 02 5gr Refill Not for Sale Wardah (Pc(s));Product Name
10;Blush on W0 G 01 5gr Refill Not for Sale Wardah (Pc(s));Blush on W0 G 01 5gr Refill Not for Sale Wardah (Pc(s));Product Name
10;Blush on W1 A 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Blush on W1 A 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Product Name
10;Blush on W1 B 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Blush on W1 B 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Product Name
10;Blush on W1 C 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Blush on W1 C 01 & 02 Refill Not For Sale 4 gr Wardah (Pc(s));Product Name
10;Botol Alucan Super Fine Mist 90 T;Botol Alucan Super Fine Mist 90 T;Product Name
10;Botol Body Wash Mint + Green Tea BD;Botol Body Wash Mint + Green Tea BD;Product Name
10;Botol Body Wash Mint + Sea Salt BD;Botol Body Wash Mint + Sea Salt BD;Product Name
10;Botol Body Wash Mint + Yuzu BD;Botol Body Wash Mint + Yuzu BD;Product Name
10;Botol Bright Stuff Loose Powder E (Pc(s));Botol Bright Stuff Loose Powder E (Pc(s));Product Name
10;Botol Bright Stuff Loose Powder R1 E (Pc(s));Botol Bright Stuff Loose Powder R1 E (Pc(s));Product Name
10;Botol Bright Stuff Loose Powder R2 E;Botol Bright Stuff Loose Powder R2 E;Product Name
10;Botol CS Dark Spot & Brightening Serum W;Botol CS Dark Spot & Brightening Serum W;Product Name
10;Botol CS PT Essence 100 W;Botol CS PT Essence 100 W;Product Name
10;Botol CS Pure Treatment Essence 30 W;Botol CS Pure Treatment Essence 30 W;Product Name
