Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
46,WARN-TNAB--K,Timica Nu Bronze,CLR3-BRW-AAG,Timica(R) NU-Antique Bronze 240AB ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-TNAB--K,Active,,,#N/A,,,
47,WARN-TSW--K,Timica Silk White (HS),,Timica Silk White (Kg),Kg,Eliminasi,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-TSW--K,Inactive,,,#N/A,,,
48,WARN-T-T-K,Serbuk Warna Kuning,,36008 Edicol Tartrazine ex. Univar Colour UK,Kg,Eliminasi,,"Dwipar Loka Ayu, PT",16,1,Amel,,,WARN-T-T-K,Inactive,,,#N/A,,,
49,WARN-TE-A40BIOSC-K,Tudor Eboni,CLR3-BLK-AAC,"C33A401M SunCroma Mth Trt Black IO ex Sun Chemical Performance Pigments, UK",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-TE-A40BIOSC-K,Active,,,#N/A,,,
50,WARN-VDM--K,Violet De Manganese,,Violet De Manganese (Kg),Kg,Eliminasi,,,16,1,,,,WARN-VDM--K,Inactive,,,#N/A,,,
51,WARN-PJW1802--K,Pigment Joune W 1803,,Pigment Joune W 1802 (Kg),Kg,Eliminasi,,,16,1,,,,WARN-PJW1802--K,Inactive,,,#N/A,,,
52,WARN-C812--K,C81-1211,,C811211 SunPearl(tm) Iridescent Gold ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-C812--K,Inactive,,,#N/A,,,
53,WARN-C394--K,C39-4433,CLR3-BLU-AAG,SunCROMA(tm) FD&C Blue 1 Al Lk C 394433 ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C394--K,Active,,,#N/A,,,
54,WARN-DBSS-7880ECQV-K,Deep Blue,,Deep Blue Skolor Sparkle 7880E CQV (Kg),Kg,Eliminasi,,,16,1,,,,WARN-DBSS-7880ECQV-K,Inactive,,,#N/A,,,
55,WARN-FG-820C-K,Flamenco Green,CLR3-GRN-AAC,Flamenco(R) Green 820C ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-FG-820C-K,Active,,,#N/A,,,
56,WARN-FSP-3500-K,Flamenco Satina Pearl 3500 (E),,Flamenco Satina Pearl 3500 (Kg),Kg,Eliminasi,,,16,25,,,,WARN-FSP-3500-K,Inactive,,,#N/A,,,
57,WARN-GTG006--K,Gemtone Topaz,CLR3-YLW-AAF,Gemtone(R) Topaz G006 ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-GTG006--K,Active,,,#N/A,,,
58,WARN-CLOGR--K,Cloisonne Green (E),,Cloisonne Green (Kg),Kg,Eliminasi,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-CLOGR--K,Inactive,,,#N/A,,,
59,WARN-MV42-,MV 42,,Manganese Violet 42 (Kg),Kg,Eliminasi,,"Colorindo Chemtra, PT",16,1,Amel,Pull,,WARN-MV42-,Inactive,,,#N/A,,,
60,WARN-TOA403-KF,Tudor Oak,CLR3-BRW-AAC,"C33A403 SunCroma Brown Iron Oxide, Sun Chemical Performance Pigments, UK",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-TOA403-KF,Active,,,#N/A,,,
61,WARN-C811-,C81-1231,,SunPearl (TM) Iridescent Red ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-C811-,Inactive,,,#N/A,,,
62,WARN-CMGT-,Colorona Magenta,CLR3-VLT-AAD,"Colorona(R) Magenta ex. Merck KgaA, Germany",Kg,Eksis,,"IMCD Indonesia, PT
PT Merck Chemicals and Life Sciences",18,25,,,,WARN-CMGT-,Active,,,#N/A,,,
63,WARN-COLB-,Colorona Bronze,CLR3-BRW-AAJ,Colorona(R) Bronze ex. Merck Germany,Kg,Belum Eksis,,"Merck Chemicals and Life Sciences, PT",12,1,Septi,,,WARN-COLB-,Inactive,,,#N/A,,,
64,WARN-CLDB-,Colorona Dark Blue,CLR3-BLU-AAD,Colorona(R) Dark Blue ex. Merck Germany,Kg,Eksis,,"Azelis Indonesia Distribusi, PT",16,1,Amel,,,WARN-CLDB-,Active,,,#N/A,,,
65,WARN-H416-,HK 416,,"HK 416 ex. Zhejiang Huake Fine Chemical Co., Ltd. China",Kg,Belum Eksis,,"Kemiko Indonesia, PT",16,25,Septi,Pull,,WARN-H416-,Inactive,,,#N/A,,,
66,WARN-DC6W003-,Red W 003,,D&C Red N 6 W 003 ex. Sensient Cosmetic Technologies lcw France,Kg,Eliminasi,,"Pitala Gunawan Raya, PT",16,1,Amel,,,WARN-DC6W003-,Inactive,,,#N/A,,,
67,WARN-AG-,Hijau Apel,,Warna Apple green (Kg),Kg,Belum Eksis,,,16,1,,,,WARN-AG-,Inactive,,,#N/A,,,
68,WARN-BT-,Coklat Hitam,,Warna Brown HT (Kg),Kg,Belum Eksis,,,16,1,,,,WARN-BT-,Inactive,,,#N/A,,,
69,WARN-TP-,Tudor Plum,CLR3-PNK-AAC,A516 Tudor Plum D&C Red No. 27,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",16,1,Ilham,,,WARN-TP-,Inactive,,,#N/A,,,
70,WARN-6000G-,CQV 6000 G,CLR3-GLD-AAC,"Blondiee Super Sparkle Gold 6000G ex. CQV Co., Ltd. South Korea",Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,25,Ilham,,,WARN-6000G-,Active,,,#N/A,,,
71,WARN-7601D-,CQV 7601 D,,"Sharon Fine Violet 7601D ex. CQV Co., Ltd. South Korea",Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-7601D-,Inactive,,,#N/A,,,
72,WARN-8519-,CL 8519,,Clareium-8519 ex. Pritty China,Kg,Belum Eksis,,"Mega Setia Agung Kimia, PT",16,1,Ilham,,,WARN-8519-,Inactive,,,#N/A,,,
73,WARN-CQVS-,CQV 6000 S,,"Blondiee Super Gold 6000S ex. CQV Co., Ltd. South Korea",Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CQVS-,Inactive,,,#N/A,,,
74,WARN-6400-,CQV 6400 S,CLR3-BRW-ABA,Blondiee Super Copper 6400S,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",12,5,Ilham,,,WARN-6400-,Habiskan stock (akan disubstitusi),,,#N/A,,,
75,WARN-6000-,CQV 6000 E,CLR3-GLD-AAB,"Blondiee Sparkle Gold 6000E ex. CQV Co., Ltd. South Korea",Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,25,Ilham,,,WARN-6000-,Active,,,#N/A,,,
76,WARN-6600-,CQV 6600 S,,"Blondiee Super Russet 6600S ex. CQV Co., Ltd. South Korea",Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-6600-,Inactive,,,#N/A,,,
77,WARN-9000-,CQV 9000 G,CLR3-WHT-AAB,"Cosmetica Super Glitter White 9000G ex. CQV Co., Ltd. South Korea",Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,25,Ilham,,,WARN-9000-,Active,,,#N/A,,,
78,WARN-C337715-,C33-7715,,Soft-Tex(R) Brown Iron ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-C337715-,Inactive,,,#N/A,,,
79,WARN-C337773-,C33-7773,,Soft-Tex(R) Yellow Iron Oxide ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-C337773-,Inactive,,,#N/A,,,
80,WARN-DBG-,Duocrome BG,CLR3-BLU-AAE,Duocrome(R) BG 826C ex. Engelhard USA,Kg,Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-DBG-,Active,,,#N/A,,,
81,WARN-FSGR-,Flamenco Super Green,,Warna Flmnco s.green (Kg),Kg,Eliminasi,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-FSGR-,Inactive,,,#N/A,,,
82,WARN-7702-,C14-7702,,Soft-Tex(R) D&C Red 27 Al Lake ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-7702-,Active,,,#N/A,,,
83,WARN-7712-,C19-7712,CLR3-RED-AAI,Soft-Tex(R) D&C Red 6 Ba Lake ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-7712-,Active,,,#N/A,,,
84,WARN-VIOL14-,Serbuk Warna Violet Larut Minyak,,D&C Violet N 2 K7014 ex. Sensient Cosmetic Technologies lcw France,Kg,Eliminasi,,"Pitala Gunawan Raya, PT",16,1,Amel,,,WARN-VIOL14-,Inactive,,,#N/A,,,
85,WARN-RED7-,Serbuk Warna Red Larut Minyak,,D&C Red N 17 K7007 ex. Sensient Cosmetic Technologies lcw France,Kg,Eliminasi,,"Pitala Gunawan Raya, PT",16,1,Amel,,,WARN-RED7-,Inactive,,,#N/A,,,
86,WARN-GREE16-,Serbuk Warna Green Larut Minyak,CLR3-GRN-AAB,D&C Green N 6 K7016 ex. Sensient Cosmetic Technologies lcw France,Kg,Eliminasi,,"Pitala Gunawan Raya, PT",20,1,Amel,,,WARN-GREE16-,Active,,,#N/A,,,
87,WARN-BG3745-,Basico Green,CLR3-GRN-AAD,Shanghai Cosmetic Basico Green SHC-3745 ex. Shanghai Pearl Fine Chemical China,Kg,Habiskan Stock,,"Colorindo Chemtra, PT",10,25,Amel,Pull,,WARN-BG3745-,Active,,,#N/A,,,
88,WARN-7640-,CQV 7640 P,,Warna CQV 7640P (Kg),Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-7640-,Inactive,,,#N/A,,,
89,WARN-ERLA-,Warna Erythrosine,,Neelilake Erythrosine Lake ex. Neelikon Food Dyes and Chemical Ltd. India,Kg,Belum Eksis,,BUKIT WARNA ABADI,16,1,,,,WARN-ERLA-,Inactive,,,#N/A,,,
90,WARN-PRSS-ECK,Soft Silver,,Warna Prestige Soft silver Ex.Eckart (Kg),Kg,Belum Eksis,,"Menjangan Sakti, PT",16,5,Septi,Pull,,WARN-PRSS-ECK,Inactive,,,#N/A,,,
91,WARN-GAG001-BAS,Gemtone Amber,CLR3-BRW-AAH,Warna Gemtone Amber G001 Ex. BASF (),Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-GAG001-BAS,Active,,,#N/A,,,
92,WARN-COLOMCBK-X,Black Powder,CLR3-BLK-AAD,Colorona Mica black ex.Merck KgaA Germany,Kg,Eksis,,"Azelis Indonesia Distribusi, PT",18,25,Amel,,,WARN-COLOMCBK-X,Active,Update 4 Maret 2020,,#N/A,,,
93,WARN-UPRPL589-X,Pure Pink,CLR3-PNK-AAB,Unipure pink Lc 589 ex.sensient cosmetic technologies France-USA,Kg,Eksis,,"Pitala Gunawan Raya, PT",20,20,Amel,,,WARN-UPRPL589-X,Active,,,#N/A,,,
94,WARN-SGCSGSHC42-X,SHC 4227,,"Shanghai Glasse Cosmetic Super Glitter Red SHC-4227 ex Shanghai Pearl Fine Chemical,Co.,Ltd.",Kg,Eliminasi,,"Colorindo Chemtra, PT",16,1,Amel,Pull,,WARN-SGCSGSHC42-X,Inactive,,,#N/A,,,
95,WARN-640G-X,CQV 6400 G,,Blondiee Super Glitter Copper 6400G CQV ex Korea (KG),Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",10,25,Ilham,,,WARN-640G-X,Inactive,,,#N/A,,,
96,WARN-BLUE2LAKE-X,Warna Blue 2 Lake,CLR3-BLU-AAF,"FD&C Blue #2 Alum Lake 12-14%, Sensient ex America, TDP",Kg,Eliminasi,,"Pitala Gunawan Raya, PT",20,1,Amel,,,WARN-BLUE2LAKE-X,Active,,,#N/A,,,
97,WARN-DC11YLW-X,Warna Yellow Minyak,,"D&C Yellow 11 ex Neelikon Food & Dyes Chemicals Ltd., India",Kg,Belum Eksis,,BUKIT WARNA ABADI,16,1,,,,WARN-DC11YLW-X,Inactive,,,#N/A,,,
98,WARN-UNPBRWNL88-X,Brown 889,CLR3-BRW-AAB,Unipure Brown LC 889 ex.sensient cosmetic technologies France,Kg,Eksis,,"Pitala Gunawan Raya, PT",20,20,Amel,,,WARN-UNPBRWNL88-X,Active,,,#N/A,,,
99,WARN-RED33-X,Serbuk Warna Merah HTG,CLR3-RED-ABC,"D&C Red N 33 K7057 ex. Sensient Cosmetic Technologies, France",Kg,Habiskan stock,,"Pitala Gunawan Raya, PT",24,1,Amel,,,WARN-RED33-X,Active,,,#N/A,,,
100,WARN-TMRD-X,Timiron Splendid Red,CLR3-WHT-AAD,"Timiron Splendid Red ex Merck KgaA, Germany",Kg,Eksis,,"Merck Chemicals and Life Sciences, PT",16,25,Septi,,,WARN-TMRD-X,Active,,,#N/A,,,
101,WARN-C811RD-X,C81-1238,CLR3-WHT-AAE,"C811238 : Sunpuro# Iridescent Red:C025 ex Sun Chemical Pigments, Korea",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C811RD-X,Active,,,#N/A,,,
102,WARN-XNS-X,Xirona Sunset,,"Xirona Nordic Sunset ex Merck KGaA, Germany",Kg,Belum Eksis,,"Merck Chemicals and Life Sciences, PT",16,1,Septi,,,WARN-XNS-X,Inactive,,,#N/A,,,
103,WARN-FW108S-X,C80-1108,CLR3-WHT-AAF,"C801108 Sunpuro Fine White ex Sun Chemical Pigments, Belgium",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-FW108S-X,Active,,,#N/A,,,
104,WARN-IRGLS-X,C81-1218,CLR3-WHT-AAG,"C811218 Sunpuro Iridescent Gold ex Sun Chemical Pigments, Belgium",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-IRGLS-X,Active,,,#N/A,,,
105,WARN-UTB990-X,Triple Black,CLR3-BLK-AAE,Unipure Triple Black LC 990 ex Sensient Cosmetic Technologies lcw France,Kg,Eksis,,"Pitala Gunawan Raya, PT",20,20,Amel,,,WARN-UTB990-X,Active,,,#N/A,,,
106,WARN-UB902-X,Pure Black,CLR3-BLK-AAF,Unipure Black LC 902 ex Senscient Cosmetic Technologies lcw France,Kg,Eksis,,"Pitala Gunawan Raya, PT",20,10,Amel,,,WARN-UB902-X,Active,,,#N/A,,,
107,WARN-WDCB2-X,Warna Hitam WD,CLR1-BLK-AAH,"WD-CB2 ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",20,18,Septi,Pull,,WARN-WDCB2-X,Active,,,#N/A,,,
108,WARN-BLCK-X,C47-2222,CLR3-BLK-AAG,"Suncroma D&C Black No.2 C47-2222 ex. Sun Chemical Pigments, Belgium",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,11.35,Ilham,,,WARN-BLCK-X,Active,,,#N/A,,,
109,WARN-ISDCB-X,Warna Hitam ISD,,"ISD-CB2 ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Belum Eksis,,"Kemiko Indonesia, PT",10,10,Septi,Pull,,WARN-ISDCB-X,Inactive,,,#N/A,,,
110,WARN-6278MRN-X,C84-6278,PWD3-AEE,"C84-6278 Sunpuro Maroon ex. Sun Chemical Performance Pigments, Korea",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-6278MRN-X,Active,,,#N/A,,,
111,WARN-DCY10AL-X,C71-5171,CLR3-YLW-AAI,"C715171 Suncroma D&C Yellow 10 Al Lake ex. Sun Chemical Pigements, Belgium",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-DCY10AL-X,Active,,,#N/A,,,
112,WARN-UNCO-X,Warna Orange 7003,CLR3-ORN-AAB,"Unicert Orange K7003-J ex. Sensient Cosmetic Technologies, France",Kg,Eksis,,"Pitala Gunawan Raya, PT",20,1,Amel,,,WARN-UNCO-X,Active,,,#N/A,,,
113,WARN-CLCC50-X,Warna CC50,,"CL CC50-BW 01 (R) ex. Chemland Co., Ltd. Korea",Kg,Belum Eksis,,"Infinisia Sumber Semesta, PT",4,5,Ilham,,,WARN-CLCC50-X,Inactive,,,#N/A,,,
114,WARN-YLW3AS-X,Warna kuning 3AS,CLR3-YLW-AAJ,"Iron Oxide Yellow 3AS ex K.S.Pearl Co.,Ltd,Korea",Kg,Eksis,,"Sinergi Multi Lestarindo, PT",8,240,Amel,Pull,palet,WARN-YLW3AS-X,Active,,,#N/A,,,
115,WARN-RED3AS-X,Warna merah 3AS,CLR3-RED-ABD,"Iron oxide Red 3AS ex K.S.Pearl Co.,Ltd, Korea",Kg,Eksis,,"Sinergi Multi Lestarindo, PT",8,240,Amel,Pull,palet,WARN-RED3AS-X,Active,,,#N/A,,,
116,WARN-BLCK3AS-X,Warna hitam 3AS,CLR3-BLK-AAI,"Iron oxide Black 3AS ex K.S.Pearl Co.,Ltd.",Kg,Eksis,,"Sinergi Multi Lestarindo, PT",6,20,Amel,Pull,,WARN-BLCK3AS-X,Active,,,#N/A,,,
117,CLR-AS8000-X,Caramel S8000,,"AAA Caramel Colour S8000 ex SanSoon Seng Food industries Sdn. Bhd, Malaysia",Kg,Belum Eksis,,"Harapan Kemika Indo Lestari, PT",1,30,Septi,,,CLR-AS8000-X,Inactive,,,#N/A,,,
118,WARN-DKRED6-X,D&C Red 6,EXF3-ABE,DK D&C Red No.6,Kg,Eliminasi,,"Kemiko Indonesia, PT",12,10,Septi,Pull,,WARN-DKRED6-X,Inactive,,,#N/A,,,
119,WARN-TOA506-X,Tudor Orchid,CLR3-RED-ABF,"C19A560 SunCroma D&C Red 6 Na Salt ex Sun Chemical Performance Pigments, UK",Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",20,15,Ilham,,,WARN-TOA506-X,Active,,,#N/A,,,
120,WARN-7401S-X,CQV 7401S,CLR3-RED-AEA,CQV Pearl Pigment Sharon Brilliant Red 7401 S,Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",12,25,Ilham,,,WARN-7401S-X,Inactive,,,#N/A,,,
121,WARN-BGM103YP-X,Yellow Magicolor,CLR3-WHT-AAH,"BioGenic Magicolor-103YP ex. BioGenics, Inc., Korea",Kg,Eksis,,"Colorindo Chemtra, PT",14,10,Amel,Pull,,WARN-BGM103YP-X,Active,,,#N/A,,,
122,WARN-BGM103RP-X,Red Magicolor,CLR3-RED-ABH,"BioGenic Magicolor-103RP ex. BioGenics, Inc., Korea",Kg,Eksis,,"Colorindo Chemtra, PT",14,10,Amel,Pull,,WARN-BGM103RP-X,Active,,,#N/A,,,
123,WARN-BGM103BP-X,Black Magicolor,CLR3-BLK-AAJ,"BioGenic Magicolor-103BP ex. BioGenics, Inc., Korea",Kg,Eksis,,"Colorindo Chemtra, PT",14,10,Amel,Pull,,WARN-BGM103BP-X,Active,,,#N/A,,,
124,WARN-TPA502-X,Tudor Paeony,CLR3-RED-ABG,"C19A525 SunCroma D&C Red 7 Ca Lake, Sun Chemical Performance Pigments, UK",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-TPA502-X,Active,,,#N/A,,,
125,WARN-RED6LM4-X,Warna Red 6 LM,CLR3-RED-ABI,"D&C Red 6 Barium Lake LM2 (4.FD.006LM0) ex Spectra Colors, USA",Kg,Eksis,,"DKSH Indonesia, PT",20,11.34,Septi,,,WARN-RED6LM4-X,Active,,,#N/A,,,
126,WARN-DCR6-X,D&C Red 6 46%,,"D&C Red 6 Barium Lake ex Kolortek, China",Kg,Belum Eksis,,"Sinergi Multi Lestarindo, PT",1,20,Amel,Pull,,WARN-DCR6-X,Inactive,,,#N/A,,,
127,WARN-DCR7-X,D&C Red 7 32%,CLR3-RED-ABJ,"D&C Red 7 Lake (32%) ex Kolortek, China",Kg,Eksis,,"Sinergi Multi Lestarindo, PT",8,25,Amel,Pull,,WARN-DCR7-X,Active,,,#N/A,,,
128,WARN-R6FM-X,Red 6 FL,CLR3-RED-AAAAB,Lavanya Flamingo (D&C Red 6 Ba Lake),Kg,Eliminasi,,"Tigaka Distrindo Perkasa, PT",8,1,Amel,,,WARN-R6FM-X,Habiskan stock (akan disubstitusi),,,#N/A,,,
129,WARN-R7EL-X,Red 7 EL,CLR3-RED-ACB,Lavanya Elegans (47-57%),Kg,Habiskan stock,,"Tigaka Distrindo Perkasa, PT",8,12.5,Amel,,,WARN-R7EL-X,Active,,,#N/A,,,
130,WARN-GZ0075-X,Red GZ 0075,CLR3-RED-ACA,"D&C Red No.7 Lake GZ 0075 ex Sensients, France",Kg,Eliminasi,,"Pitala Gunawan Raya, PT",24,20,Amel,,,WARN-GZ0075-X,Active,,,WARN-GZ0075-X,,,
131,WARN-LC621-X,Pure LC621,,"Unipure LC621 ex Sensients, France",Kg,Eliminasi,,"Pitala Gunawan Raya, PT",1,20,Amel,,,WARN-LC621-X,Inactive,,,#N/A,,,
132,CLR-AS5000-X,Caramel 5000S,,AAA Caramel Colour S5000 ex. San Soon Seng Food Industries Sdn. Bhd. Malaysia,Kg,Belum Eksis,,"Galic Bina Mada, PT",8,30,,,,CLR-AS5000-X,Inactive,,,#N/A,,,
133,WARN-R27MS-X,Warna Red 27 MS,CLR3-PNK-AAD,D&C Red 27 Al Lake MS,Kg,Eksis,,"DKSH Indonesia, PT",20,1,Septi,,,WARN-R27MS-X,Active,,,#N/A,,,
134,WARN-RK416-X,RK 416,CLR3-RED-ACG,"RK 416, Scarlet ex Rika Technology Co.Ltd, China",Kg,Habiskan stock,,"Colorindo Chemtra, PT",16,25,Amel,Pull,,WARN-RK416-X,Active,,,#N/A,,,
135,WARN-TRTYL-X,Warna Kuning Tartrazine,CLR3-YLW-ABB,Galicol Tartrazine ex Vidhi Dyestuffs Mfg. Ltd. / PT Galic Bina Mada,Kg,Eksis,,"DKSH Indonesia, PT",16,25,Septi,,,WARN-TRTYL-X,Active,,,WARN-TRTYL-X,,,
136,WARN-BYO12-X,Warna Kuning BI 2,CLR3-YLW-ABA,"BYO-I2 ex. Kobo Products Inc., USA",Kg,Eksis,,"Kemiko Indonesia, PT",20,1,Septi,Pull,,WARN-BYO12-X,Active,,,#N/A,,,
137,WARN-BRO12-X,Warna Merah BI 2,CLR3-RED-ACC,"BRO-I2 ex. Kobo Products Inc., USA",Kg,Eksis,,"Kemiko Indonesia, PT",20,1,Septi,Pull,,WARN-BRO12-X,Active,,,#N/A,,,
138,WARN-BBO12-X,Warna Hitam BI 2,CLR3-BLK-ABA,"BBO-I2 ex. Kobo Products Inc., USA",Kg,Eksis,,"Kemiko Indonesia, PT",20,1,Septi,Pull,,WARN-BBO12-X,Active,,,#N/A,,,
139,WARN--RED227,Warna Merah 227,CLR3-RED-ACH,"Red No.227 ex. Daito Kasei Kogyo Co.,Ltd., Jepang",Kg,Eksis,,"Kemiko Indonesia, PT",20,1,Septi,Pull,,WARN--RED227,Active,,,#N/A,,,
140,WARN-K7054J-X,Red 7054,CLR3-RED-ACE,"Unicert Red K7054-J ex Sensients Cosmetic Technologies, France",Kg,Eksis,,"Pitala Gunawan Raya, PT",20,1,Amel,,,WARN-K7054J-X,Active,,,#N/A,,,
141,WARN-O025-X,Warna Orange 205,CLR3-ORN-AAC,"Orange No.205 ex Daito Kasei Kogyo Co.Ltd., Japan",Kg,Habiskan stock,,"Kemiko Indonesia, PT",20,1,Septi,Pull,,WARN-O025-X,Active,,,#N/A,,,
142,WARN-ALRED-X,Red 40 AL,CLR3-RED-ACF,"Neelicol Allura Red ex Neelikon Food Dyes and Chemicals Limited, India",Kg,Habiskan stock,,"Tigaka Distrindo Perkasa, PT",8,1,Amel,,,WARN-ALRED-X,Active,,,#N/A,,,
143,WARN-K7057J-X,Red 7057,CLR3-RED-ACI,"Unicert Red K7057-J ex Sensients Cosmetics Technologies, France",Kg,Eksis,,"Pitala Gunawan Raya, PT",20,1,Amel,,,WARN-K7057J-X,Active,,,#N/A,,,
144,WARN-K7008J-X,Red 7008,CLR3-RED-ACD,"Unicert Red K7008-J ex Sensients Cosmetics technologies, France",Kg,Eksis,,"Pitala Gunawan Raya, PT",20,1,Amel,,,WARN-K7008J-X,Active,,,#N/A,,,
145,WARN-DK27-X,Red No 27,,"DK D&C Red No 27 ex Daito Kasei Kogyo Co.Ltd, Japan",Kg,Belum Eksis,,"Kemiko Indonesia, PT",12,1,Septi,Pull,,WARN-DK27-X,Inactive,,,#N/A,,,
146,WARN-14032-X,C14-032,CLR3-RED-ACJ,"C14-032 SunCroma D&C Red 21 ex Sunchemical Performance Pigment, Belgium",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-14032-X,Active,,,#N/A,,,
147,WARN-UNK753-X,Red 7053,CLR3-PNK-AAE,Unicert Red K7053-J ex Sensient,Kg,Eksis,,"Pitala Gunawan Raya, PT",20,1,Amel,,,WARN-UNK753-X,Active,,,#N/A,,,
148,WARN-OTS2Y-X,OTS-2 Yellow,CLR3-YLW-ABE,"OTS-2 Yellow LLXLO ex Daito Kasei Kogyo Co.Ltd, Japan",Kg,Habiskan stock,,"Kemiko Indonesia, PT",20,20,Septi,Pull,,WARN-OTS2Y-X,Active,,,#N/A,,,
149,WARN-CWCBEF3W-MO,Warna Biru 3W,CLR1-BLU-AAI,"Cosmelor WC Blue FB3W ex Wooshin Pigment Co., Ltd",Kg,Belum Eksis,,"Behn Meyer Chemical, PT",12,1,Amel,,,WARN-CWCBEF3W-MO,Active,,,WARN-CWCBEF3W-MO,,,
150,WARN-CWCWT3W-MO,Warna Putih 3W,CLR1-WHT-ABC,"Cosmelor WC White TD3W ex Wooshin Pigment Co., Ltd",Kg,Belum Eksis,,"Behn Meyer Chemical, PT",12,1,Amel,,,WARN-CWCWT3W-MO,Active,,,WARN-CWCWT3W-MO,,,
151,WARN-CWCR53W-MO,Warna Merah 3W,CLR1-RED-ADA,"Cosmelor WC Red 53W ex Wooshin Pigment Co., Ltd",Kg,Belum Eksis,,"Behn Meyer Chemical, PT",12,1,Amel,,,WARN-CWCR53W-MO,Active,,,WARN-CWCR53W-MO,,,
152,WARN-CWCBL23W-MO,Warna Hitam 3W,CLR3-BLK-ABE,"Cosmelor WC Black 23W ex Wooshin Pigment Co., Ltd",Kg,Belum Eksis,,"Behn Meyer Chemical, PT",12,1,Amel,,,WARN-CWCBL23W-MO,Active,,,WARN-CWCBL23W-MO,,,
153,WARN-TMRHWT-X,Warna Putih TMH,CLR3-WHT-ABA,Timiron Halo White,Kg,Eksis,,"Merck Chemicals and Life Sciences, PT",16,20,Septi,,,WARN-TMRHWT-X,Active,,,#N/A,,,
154,WARN-TMRSR-MO,Warna Merah Silk,CLR3-WHT-ABB,Timiron Silk Red,Kg,Eksis,,"Azelis Indonesia Distribusi, PT",18,25,Amel,,,WARN-TMRSR-MO,Active,,,#N/A,,,
155,WARN-BL98-X,C33-5198,CLR3-BLK-ABC,"C33â_x005F_x0080__x005F_x0090_A5198 SunCROMAÂ® Black Iron Oxide ex Sun Chemical Corporation, UK",Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",2,20,Ilham,,,WARN-BL98-X,Inactive,,,#N/A,,,
